f x0 stability
1.000000000000000056e-01 1.000000000000000000e+00 0.000000000000000000e+00
1.325711365590109270e-01 1.000000000000000000e+00 0.000000000000000000e+00
1.757510624854791981e-01 1.000000000000000000e+00 0.000000000000000000e+00
2.329951810515371868e-01 1.000000000000000000e+00 0.000000000000000000e+00
3.088843596477480746e-01 1.000000000000000000e+00 0.000000000000000000e+00
4.094915062380425352e-01 1.000000000000000000e+00 0.000000000000000000e+00
5.428675439323858987e-01 1.000000000000000000e+00 0.000000000000000000e+00
7.196856730011519376e-01 1.000000000000000000e+00 0.000000000000000000e+00
9.540954763499939206e-01 1.000000000000000000e+00 0.000000000000000000e+00
1.264855216855295783e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.676832936811008201e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.222996482526194306e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.947051702551809704e+00 1.000000000000000000e+00 0.000000000000000000e+00
3.906939937054616951e+00 1.000000000000000000e+00 0.000000000000000000e+00
5.179474679231209855e+00 1.000000000000000000e+00 0.000000000000000000e+00
6.866488450043001457e+00 1.000000000000000000e+00 0.000000000000000000e+00
9.102981779915218397e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.206792640639328873e+01 1.000000000000000000e+00 0.000000000000000000e+00
1.599858719606057278e+01 1.000000000000000000e+00 0.000000000000000000e+00
2.120950887920190553e+01 1.000000000000000000e+00 0.000000000000000000e+00
2.811768697974230946e+01 1.000000000000000000e+00 0.000000000000000000e+00
3.727593720314938253e+01 1.000000000000000000e+00 0.000000000000000000e+00
4.941713361323833453e+01 1.000000000000000000e+00 0.000000000000000000e+00
6.551285568595508835e+01 1.000000000000000000e+00 0.000000000000000000e+00
8.685113737513520960e+01 1.000000000000000000e+00 0.000000000000000000e+00
1.151395399326446949e+02 1.000000000000000000e+00 0.000000000000000000e+00
1.526417967175233343e+02 1.000000000000000000e+00 0.000000000000000000e+00
2.023589647725157477e+02 1.000000000000000000e+00 0.000000000000000000e+00
2.682695795279724393e+02 1.000000000000000000e+00 0.000000000000000000e+00
3.556480306223128309e+02 1.000000000000000000e+00 0.000000000000000000e+00
4.714866363457394414e+02 1.000000000000000000e+00 0.000000000000000000e+00
6.250551925273969118e+02 1.000000000000000000e+00 0.000000000000000000e+00
8.286427728546842673e+02 1.000000000000000000e+00 0.000000000000000000e+00
1.098541141987557239e+03 1.000000000000000000e+00 0.000000000000000000e+00
1.456348477501244361e+03 1.000000000000000000e+00 0.000000000000000000e+00
1.930697728883249511e+03 1.000000000000000000e+00 0.000000000000000000e+00
2.559547922699533046e+03 1.000000000000000000e+00 0.000000000000000000e+00
3.393221771895329766e+03 1.000000000000000000e+00 0.000000000000000000e+00
4.498432668969444421e+03 1.000000000000000000e+00 0.000000000000000000e+00
5.963623316594636890e+03 1.000000000000000000e+00 0.000000000000000000e+00
7.906043210907701905e+03 1.000000000000000000e+00 0.000000000000000000e+00
1.048113134154685213e+04 1.000000000000000000e+00 0.000000000000000000e+00
1.389495494373135989e+04 1.000000000000000000e+00 0.000000000000000000e+00
1.842069969326716455e+04 1.000000000000000000e+00 0.000000000000000000e+00
2.442053094548649824e+04 1.000000000000000000e+00 0.000000000000000000e+00
3.237457542817639842e+04 1.000000000000000000e+00 0.000000000000000000e+00
