f_values,boundary_20mK,boundary_4K,boundary_300K
1.000000000000000056e-01,2.621921921921921861e+00,2.767267267267267350e+00,6.104410441044099578e+00
1.325711365590109270e-01,2.407207207207207045e+00,2.503003003003002824e+00,4.958958958958959329e+00
1.757510624854791981e-01,2.222222222222222321e+00,2.281681681681681617e+00,4.091891891891892286e+00
2.329951810515371868e-01,2.063663663663663606e+00,2.096696696696696449e+00,3.424624624624624580e+00
3.088843596477480746e-01,1.924924924924924952e+00,1.938138138138138178e+00,2.912612612612612395e+00
4.094915062380425352e-01,1.802702702702702720e+00,1.809309309309309111e+00,2.519519519519519690e+00
5.428675439323858987e-01,1.696996996996996909e+00,1.696996996996996909e+00,2.212312312312312290e+00
7.196856730011519376e-01,1.604504504504504325e+00,1.604504504504504325e+00,1.974474474474474439e+00
9.540954763499939206e-01,1.525225225225225190e+00,1.525225225225225190e+00,1.789489489489489493e+00
1.264855216855295783e+00,1.455855855855855863e+00,1.455855855855855863e+00,1.644144144144144004e+00
1.676832936811008201e+00,1.396396396396396344e+00,1.396396396396396344e+00,1.528528528528528607e+00
2.222996482526194306e+00,1.346846846846846857e+00,1.346846846846846857e+00,1.436036036036036023e+00
2.947051702551809704e+00,1.300600600600600565e+00,1.300600600600600565e+00,1.363363363363363279e+00
3.906939937054616951e+00,1.260960960960960886e+00,1.260960960960960886e+00,1.303903903903903760e+00
5.179474679231209855e+00,1.227927927927927820e+00,1.227927927927927820e+00,1.257657657657657690e+00
6.866488450043001457e+00,1.198198198198198172e+00,1.198198198198198172e+00,1.218018018018018012e+00
9.102981779915218397e+00,1.171771771771771720e+00,1.171771771771771720e+00,1.184984984984984946e+00
1.206792640639328873e+01,1.148648648648648685e+00,1.148648648648648685e+00,1.155255255255255298e+00
1.599858719606057278e+01,1.128828828828828845e+00,1.128828828828828845e+00,1.135435435435435458e+00
2.120950887920190553e+01,1.112312312312312201e+00,1.112312312312312201e+00,1.115615615615615619e+00
2.811768697974230946e+01,1.099099099099098975e+00,1.099099099099098975e+00,1.099099099099098975e+00
3.727593720314938253e+01,1.085885885885885971e+00,1.085885885885885971e+00,1.085885885885885971e+00
4.941713361323833453e+01,1.075975975975975940e+00,1.075975975975975940e+00,1.075975975975975940e+00
6.551285568595508835e+01,1.066066066066066131e+00,1.066066066066066131e+00,1.066066066066066131e+00
8.685113737513520960e+01,1.059459459459459518e+00,1.059459459459459518e+00,1.059459459459459518e+00
1.151395399326446949e+02,1.049549549549549488e+00,1.049549549549549488e+00,1.049549549549549488e+00
1.526417967175233343e+02,1.042942942942942874e+00,1.042942942942942874e+00,1.042942942942942874e+00
2.023589647725157477e+02,1.039639639639639679e+00,1.039639639639639679e+00,1.039639639639639679e+00
2.682695795279724393e+02,1.033033033033033066e+00,1.033033033033033066e+00,1.033033033033033066e+00
3.556480306223128309e+02,1.029729729729729648e+00,1.029729729729729648e+00,1.029729729729729648e+00
4.714866363457394414e+02,1.029729729729729648e+00,1.029729729729729648e+00,1.029729729729729648e+00
6.250551925273969118e+02,1.026426426426426453e+00,1.026426426426426453e+00,1.026426426426426453e+00
8.286427728546842673e+02,1.026426426426426453e+00,1.026426426426426453e+00,1.026426426426426453e+00
1.098541141987557239e+03,1.026426426426426453e+00,1.026426426426426453e+00,1.026426426426426453e+00
1.456348477501244361e+03,1.016516516516516422e+00,1.016516516516516422e+00,1.016516516516516422e+00
1.930697728883249511e+03,1.013213213213213226e+00,1.013213213213213226e+00,1.013213213213213226e+00
2.559547922699533046e+03,1.019819819819819839e+00,1.019819819819819839e+00,1.019819819819819839e+00
3.393221771895329766e+03,1.019819819819819839e+00,1.019819819819819839e+00,1.019819819819819839e+00
4.498432668969444421e+03,1.019819819819819839e+00,1.019819819819819839e+00,1.019819819819819839e+00
5.963623316594636890e+03,1.016516516516516422e+00,1.016516516516516422e+00,1.016516516516516422e+00
7.906043210907701905e+03,1.023123123123123035e+00,1.023123123123123035e+00,1.023123123123123035e+00
1.048113134154685213e+04,1.006606606606606613e+00,1.006606606606606613e+00,1.006606606606606613e+00
1.389495494373135989e+04,1.013213213213213226e+00,1.013213213213213226e+00,1.013213213213213226e+00
1.842069969326716455e+04,1.009909909909909809e+00,1.009909909909909809e+00,1.009909909909909809e+00
2.442053094548649824e+04,1.016516516516516422e+00,1.016516516516516422e+00,1.016516516516516422e+00
3.237457542817639842e+04,1.013213213213213226e+00,1.013213213213213226e+00,1.013213213213213226e+00
4.291934260128778260e+04,1.013213213213213226e+00,1.013213213213213226e+00,1.013213213213213226e+00
5.689866029018293193e+04,1.013213213213213226e+00,1.013213213213213226e+00,1.013213213213213226e+00
7.543120063354607555e+04,1.009909909909909809e+00,1.009909909909909809e+00,1.009909909909909809e+00
1.000000000000000000e+05,1.013213213213213226e+00,1.013213213213213226e+00,1.013213213213213226e+00
